url,title,media,height_cm,width_cm,price_gbp
https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,P10 by Olly Fathers,Acrylic paint on sprayed board,30,30,240
https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,OFF ROAD by Lucy Baker,"Oil paint, spray paint & gold leaf on board",40 ,30 ,340
https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,Amazons by Lucy Baker,"Oil paint, spray paint & gold leaf on board",130 ,110,1600
https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,Candy Flop by Olly Fathers,Sprayed board, 53 ,127 ,3400
https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,Crossroads by Olly Fathers,Sprayed board,120  ,120,4000
https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,The Hurricane by Lucy Baker,"Oil paint, spray paint & gold leaf on board",130 ,110,1600
https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,Tommy by Olly Fathers,"Spraypaint, board, card, digital print collage", 70,100 ,1940
https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,Constructed Veneer IV by Olly Fathers,"Various wood veneers, various woods, board",32,38,1100
https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,Constructed Veneer V by Olly Fathers,"Various wood veneers, various woods, board",33,30,940
https://www.bearspace.co.uk/product-page/constructed-veneer-vii-by-olly-fathers,Constructed Veneer VII by Olly Fathers,"Various wood veneers, various woods, board",25,34,940
https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,Collage 3 by Olly Fathers,"Spraypaint, vinyl, card, digital print collage", 21,29.7 ,175
https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,Collage 2 by Olly Fathers,"Spraypaint, vinyl, card, digital print collage", 21,29.7 ,175
https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers-1,Constructed Veneer VI by Olly Fathers,"Various wood veneers, various woods, board",24,26,940
https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,Collage 1 by Olly Fathers,"Spraypaint, vinyl, card, digital print collage", 21,29.7 ,175
https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,C6 by Olly Fathers,Acrylic paint on sprayed board,30,30,240
https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,P1 by Olly Fathers,Acrylic paint on sprayed board,30,30,240
https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,Portal 9 by Jane Ward,Digital print under acrylic with subframe,0,0,490
https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,Portal 7 by Jane Ward,Digital print under acrylic with subframe,0,0,490
https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,Portal 8 by Jane Ward,Digital print under acrylic with subframe,0,0,490
https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,As The Tide Turned by Dominic Bradnum,"Oil with charcoal, watercolour and sand on canvas", 80,100CM ,1400
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,You Took My Breath Away by Dominic Bradnum,"oil on canvas with charcoal, watercolour and pencil",50,40,640
https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,Somewhat Confusing I by Elise Wootten,"Aluminium, Inkjet Vinyl Print", 88 ,74 ,640
https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,Somewhat Confusing II by Elise Wootten,"Aluminium, Inkjet Vinyl Print", 89 ,75 ,640
https://www.bearspace.co.uk/product-page/kin-by-vic-wright,Kin by Vic Wright,16cm x 14cm, 14,16CM ,440
https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,To The Zenith's Height by Jane Ward,Archival digital print on canvas with dissolved canvas,120 ,90,1400
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,The Ephemeral Isles by Jane Ward,Archival digital print on canvas with dissolved canvas,120 ,90,1400
https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,Morning Came by Dominic Bradnum,"oil with charcoal, watercolour and pencil on canvas", 50,40CM ,640
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,The Ephemeral Isles 5 by Jane Ward,Digital print on canvas with dissolved ink,60 ,45,490
https://www.bearspace.co.uk/product-page/copy-of-meld-5,Meld 5,"13K gold leaf, copper leaf, white casting cement, iron and pigment", 15 ,17 ,420
https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,Portal 1 by Jane Ward,Digital print under acrylic with subframe,0,0,320
https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,FRAGMENTATION No.46 by Jim Cheatle,"Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF", 54.5 ,70 ,1200
https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward-1,Unfathomable Deeps by Jane Ward,Digital print on Aluminium,30 ,24,340
https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,From Frozen Floods by Jane Ward,Digital print on Aluminium,30 ,24,340
https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,FRAGMENTATION No.44 by Jim Cheatle,"Resin, pigments, inkjet prints, canvas, MDF", 54.5 ,70 ,1200
https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,Green Sanctuary by Dionne Cole,58W x 85.5Hcm, 85.5H,58W ,1200
https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,Facet 2 by Vic Wright,"24k gold leaf, white casting cement and ink", 7 ,7 ,140
https://www.bearspace.co.uk/product-page/facet-by-vic-wright,Facet by Vic Wright,13k gold leaf and grey casting cement., 6 ,10 ,140
https://www.bearspace.co.uk/product-page/conversation-2-by-vic-wright,Conversation 2 by Vic Wright,Black and white casting cement with 24k gold leaf, 8 ,12 ,320
https://www.bearspace.co.uk/product-page/conversation-3-by-vic-wright,Conversation 3 by Vic Wright,"Fine white casting cement, ink, crystals and 24k gold leaf", 10 ,12 ,340
https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,Facet 3 by Vic Wright,"Fine white casting cement, ink and 18k gold", 7 ,7 ,140
https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,Take My Hand by Dominic Badnum,oil on canvas with charcoal and watercolour, 50 ,40CM ,840
https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,Flight by Dionne Cole,Sculpted hand and laser cut paper, 155H  ,92W ,2800
https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,The Tide Seems To Whisper Your Name by Dominic Badnum,oil on canvas, WIDTH 100,HEIGHT 80CM ,1600
https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,Facet 4 by Vic Wright,Fine white casting cement and 24k gold leaf, 6 ,7.5 ,140
https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,Facet 5 by Vic Wright,"Fine white casting cement, ink and 24k gold leaf", 6.5 ,8 ,140
https://www.bearspace.co.uk/product-page/shades-of-coral-ii-by-dionne-cole,Shades of Coral II by Dionne Cole,30.5W x 40.7Hcm, 40.7H,30.5W ,490
https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,I See Beauty In Everything by Dominic Badnum,oil on canvas with charcoal and watercolour, WIDTH 100,HEIGHT 80CM ,1600
https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,Purple Motion by Dionne Cole,59.4 x 84.1cm, 84.1,59.4 ,1200
https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,Meld 4 by Vic Wright,"13K gold leaf, copper leaf, white casting cement, iron and pigment", 15 ,18 ,440
https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,Meld 6 by Vic Wright,"16K goldleaf, white casting cement, pigment and ink", 18 ,17 ,440
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,This Day Is Ours by Dominic Bradnum,"oil with charcoal, watercolour and pencil on canvas", 50 ,40 ,640
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,The Ephemeral Isles 1 by Jane Ward,Digital print on Aluminium,120 ,90,1800
https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,Disperse by Dionne Cole,76 x 101.6 cm, 101.6 ,76 ,1400
https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,FRAGMENTATION No.45 by Jim Cheatle,"Resin, pigments, inkjet prints, acrylic, paper, MDF", 54.5 ,70 ,1200
https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,And The Sunset by Jane Ward,70x90 cm,90 ,70,840
https://www.bearspace.co.uk/product-page/to-the-zenith-sheight-by-jane-ward,To The Zenith'sHeight by Jane Ward,90x120 cm,120 ,90,1400
https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,From the Curved Horizon by Jane Ward,90x120 cm,120 ,90,1400
https://www.bearspace.co.uk/product-page/spangled-by-john-greenwood,Spangled by John Greenwood,Oil on Canvas,30S,35,3000
https://www.bearspace.co.uk/product-page/el-dorado-by-john-greenwood,El Dorado by John Greenwood,Oil on Gessoed canvas on Board,38S,45,3800
https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,Entry Point by Joseph Stokes,Graphite on paper,40 ,50,720
https://www.bearspace.co.uk/product-page/where-stars-dissolve-by-bella-easton,Where Stars Dissolve by Bella Easton,Pencil on Arches paper, 41 ,56 ,3200
https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,ANGEL HEART by Bella Easton,Pencil on Arches paper, 41 ,56 ,3200
https://www.bearspace.co.uk/product-page/white-sitting-double-by-vic-wright,White Sitting Double by Vic Wright,24K gold leaf & white casting cement, 10 ,13.5 ,290
https://www.bearspace.co.uk/product-page/standing-triple-black-grey-and-white-by-vic-wright,Standing Triple Black Grey and White by Vic Wright,White and grey casting cement with ink, 11 ,14 ,340
https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,Meld 3 by Vic Wright,"13k gold leaf, white casting cement and ink", 12 ,18 ,440
https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,C13 by Olly Fathers,Acrylic paint on sprayed board,30,30,240
https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,Museum of now by John Greenwood,Oil on Gessoed canvas on Board,38S,45,9800
https://www.bearspace.co.uk/product-page/shift-by-deanna-lewis,"""Shift"" by Deanna Lewis",Acrylic and oil paint on canvas, 60 ,40 ,440
https://www.bearspace.co.uk/product-page/standing-white-and-grey-speckle-by-vic-wright,Standing White and Grey speckle by Vic Wright,White and Grey fine casting cement with white wax, 13 ,14 ,325
https://www.bearspace.co.uk/product-page/emplacement-6-by-victoria-ashdown,Emplacement 6 by Victoria Ashdown,20x21x12 cm,21,20,240
https://www.bearspace.co.uk/product-page/emplacement-7-by-victoria-ashdown,Emplacement 7 by Victoria Ashdown,13x23x13 cm,23,13,240
https://www.bearspace.co.uk/product-page/follow-by-deanna-lewis,"""Follow"" by Deanna Lewis",Acrylic and oil paint on canvas, 50,35 ,340
https://www.bearspace.co.uk/product-page/point-by-deanna-lewis,"""Point"" by Deanna Lewis",Acrylic and oil paint on canvas, 50,35 ,340
https://www.bearspace.co.uk/product-page/exchange-by-deanna-lewis,"""Exchange"" by Deanna Lewis",Acrylic and oil paint on canvas, 50,35 ,340
https://www.bearspace.co.uk/product-page/take-our-time-someday-by-chris-hawtin,Take Our Time (Someday) by Chris Hawtin,Oil and acrylic on canvas,30,40,640
https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,Loneliness by Chris Hawtin,"Oil, acrylic and pigment on canvas",30,40,640
https://www.bearspace.co.uk/product-page/sovereign,Sovereign,Mixed media,1413.5,22,640
https://www.bearspace.co.uk/product-page/embers-by-chris-hawtin,Embers by Chris Hawtin,Oil and acrylic on canvas,30,40,640
https://www.bearspace.co.uk/product-page/guiding-light-by-chris-hawtin,Guiding Light by Chris Hawtin,Oil & acrylic on canvas,30,40,695
https://www.bearspace.co.uk/product-page/the-castle-by-chris-hawtin,The Castle by Chris Hawtin,Oil & acrylic on canvas,70 ,90,1400
https://www.bearspace.co.uk/product-page/the-mortal-frame-by-chris-hawtin,The Mortal Frame by Chris Hawtin,Oil & acrylic on canvas,99 ,99,1600
https://www.bearspace.co.uk/product-page/capital-drone-by-chris-hawtin,Capital Drone by Chris Hawtin,Mixed media,1413.5,22,640
https://www.bearspace.co.uk/product-page/factory-by-chris-hawtin,Factory by Chris Hawtin,Mixed media,1413.5,22,640
https://www.bearspace.co.uk/product-page/recon-drones-by-chris-hawtin,Recon Drones by Chris Hawtin,Mixed media,1413.5,22,640
https://www.bearspace.co.uk/product-page/bridge-over-garden-city-state-by-jane-ward,Bridge Over Garden City State by Jane Ward,Archival digital print on canvas,120 ,90,1800
https://www.bearspace.co.uk/product-page/copy-of-recon-drones-by-chris-hawtin,copy of Recon Drones by Chris Hawtin,Mixed media,1413.5,22,640
https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward,The High Way (Pass) by Jane Ward,90x70cm,70,90,940
https://www.bearspace.co.uk/product-page/yellow-wall-by-lucinda-metcalfe-1,Yellow Wall by Lucinda Metcalfe,60x80cm,80,60,1200
https://www.bearspace.co.uk/product-page/skywalk-by-jane-ward,Skywalk by Jane Ward,90x70cm,70,90,940
https://www.bearspace.co.uk/product-page/myriorama-room-series-lamp-by-bella-easton,MYRIORAMA ROOM series - LAMP by Bella Easton,Artist: Bella Easton, 117 (INCLUDING DIMENSIONS OF FRAME),89 ,2800
https://www.bearspace.co.uk/product-page/myriorama-room-series-fireplace-ii-by-bella-easton,MYRIORAMA ROOM series – FIREPLACE II by Bella Easton,Artist: Bella Easton, 117 (INCLUDING DIMENSIONS OF FRAME),89 ,2800
https://www.bearspace.co.uk/product-page/chiral-vi-by-bella-easton,Chiral VI by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches, 18,40 ,940
https://www.bearspace.co.uk/product-page/chiral-v-by-bella-easton,Chiral V by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches, 18,40 ,940
https://www.bearspace.co.uk/product-page/chiral-iv-by-bella-easton,Chiral IV by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches, 18,40 ,940
https://www.bearspace.co.uk/product-page/chiral-iii-by-bella-easton,Chiral III by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches, 18,40 ,940
https://www.bearspace.co.uk/product-page/chiral-ii-by-bella-easton,Chiral II by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches, 18,40 ,940
https://www.bearspace.co.uk/product-page/overland-1-by-jane-ward,Overland 1 by Jane Ward,Archival digital print on canvas,120 ,90,1400
https://www.bearspace.co.uk/product-page/overland-2-by-jane-ward,Overland 2 by Jane Ward,Archival digital print on canvas,120 ,90,1400
https://www.bearspace.co.uk/product-page/overland-3-by-jane-ward,Overland 3 by Jane Ward,Archival digital print on canvas,120 ,90,1400
https://www.bearspace.co.uk/product-page/overland-4-by-jane-ward,Overland 4 by Jane Ward,Archival digital print on canvas,120 ,90,1400
https://www.bearspace.co.uk/product-page/alpine-1-by-jane-ward,Alpine 1 by Jane Ward,Digital print on canvas with hand dissolved ink,30 ,40,290
https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,Alpine 2 by Jane Ward,Digital print on canvas with hand dissolved ink,30 ,40,290
https://www.bearspace.co.uk/product-page/garden-city-state-1b-by-jane-ward,Garden City State 1b by Jane Ward,60x45cm,45,60,490
https://www.bearspace.co.uk/product-page/garden-city-state-1c-by-jane-ward,Garden City State 1c by Jane Ward,60x45cm,45,60,490
https://www.bearspace.co.uk/product-page/then-all-was-calm,Then All Was Calm... by Dominic Bradnum,height 110cm x width 150cm, WIDTH 150,HEIGHT 110CM ,2400
https://www.bearspace.co.uk/product-page/i-crash-into-your-arms,I Crash Into Your Arms by Dominic Bradnum,"Oil with charcoal, watercolour, salt & sand on canvas", WIDTH 100,HEIGHT 70CM ,1400
https://www.bearspace.co.uk/product-page/under-a-bruised-and-leaden-sky-by-dominic-badnum,Under A Bruised And Leaden Sky by Dominic Badnum,Oil with charcoal & watercolour on canvas, WIDTH 100,HEIGHT 100CM ,1600
https://www.bearspace.co.uk/product-page/anxiety-machines,Anxiety Machines by Chris Hawtin,"Oil, enamel and acrylic on canvas",99,99,1600
https://www.bearspace.co.uk/product-page/gregor-s-hollow-by-chris-hawtin,Gregor's Hollow by Chris Hawtin,"Oil, enamel, acrylic and resin on canvas",198,198,4000
https://www.bearspace.co.uk/product-page/the-scientist-by-chris-hawtin,The Scientist by Chris Hawtin,Screen print on paper,56,76,250
https://www.bearspace.co.uk/product-page/jerome-s-peak-by-chris-hawtin,Jerome's Peak by Chris Hawtin,"Oil,enamel and acrylic on canvas",143,132,2400
https://www.bearspace.co.uk/product-page/photeus-at-the-pythia-by-chris-hawtin,Photeus at the Pythia by Chris Hawtin,Oil and acrylic on canvas,70,70,1200
https://www.bearspace.co.uk/product-page/protist-peak-by-chris-hawtin,Protist Peak by Chris Hawtin,Oil and acrylic on canvas,50,40,690
https://www.bearspace.co.uk/product-page/relic-engines-by-chris-hawtin,Relic Engines by Chris Hawtin,"Oil, enamel and acrylic on canvas",40,45,690
https://www.bearspace.co.uk/product-page/seth-s-narrows-by-chris-hawtin,Seth's Narrows by Chris Hawtin,Oil and acrylic on canvas,47,59,800
https://www.bearspace.co.uk/product-page/the-cope-marsh-station,The Cope Marsh Station by Chris Hawtin,Oil on canvas,86 ,86,1400
https://www.bearspace.co.uk/product-page/tilt-by-chris-hawton,Tilt by Chris Hawton,Oil and acrylic on canvas,46,51,800
https://www.bearspace.co.uk/product-page/the-vandal-by-chris-hawtin,The Vandal by Chris Hawtin,Screenprint on paper,56,76,250
https://www.bearspace.co.uk/product-page/march-by-chris-hawtin,March by Chris Hawtin,Oil on Canvas,62,57,940
https://www.bearspace.co.uk/product-page/the-hidden-city-by-chris-hawtin,The Hidden City by Chris Hawtin,Oil and enamel on canvas,101,87,1600
https://www.bearspace.co.uk/product-page/the-dawn-chorus-by-chris-hawtin,The Dawn Chorus by Chris Hawtin,170x160cm,160,170,3800
https://www.bearspace.co.uk/product-page/myriorama-room-series-armchair-by-bella-easton,MYRIORAMA ROOM series –ARMCHAIR by Bella Easton,Artist: Bella Easton, 117 (INCLUDING DIMENSIONS OF FRAME),89 ,2800
https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward,Alpine 4 by Jane Ward,Digital print on canvas with hand dissolved ink,30 ,40,290
https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,Alpine 3 by Jane Ward,Digital print on canvas with hand dissolved ink,30 ,40,290
https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,Summer Breeze by Lucinda Metcalfe,57.5cmx45cm ,45 ,57.5CM,690
https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,(GCS) High Rise - Jane Ward,Digital print with dissolved ink,60,80,990
https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,Feralis by Suzanne Moxhay,68X55 CM,55 ,68,690
https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,Boondocks by Suzanne Moxhay,92X45 CM,45 ,92,690
https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,Athne by Suzanne Moxhay,100X50CM,50,100,690
https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,Gloaming by Suzanne Moxhay,60x40cm,40,60,690
https://www.bearspace.co.uk/product-page/bayou,Bayou,100x44 cm,44 ,100,690
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-5,"'Retreating, then advancing repeatedly over the centuries'5 by Janie Kidston",50x60cm,60,50,540
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",50x60cm,60,50,540
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",50x60cm,60,50,540
https://www.bearspace.co.uk/product-page/walking-out-over-ice-in-midsummer-1,Walking Out Over Ice in Midsummer 1 by Janie Kidston,Archival Digital Print, 59S,84CMS ,940
https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,Moving from the side of the valley by Janie Kidston,50x60 cm,60 ,50,540
https://www.bearspace.co.uk/product-page/neon-pool,Lucinda Metcalfe - Neon Pool,Acrylic and oil on board,49.5,39,640
https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,Jubellied (joy song) by Nadja Gabriela Plein,50 x 41cm, 41,50 ,490
https://www.bearspace.co.uk/product-page/sky-walk-by-jane-ward,Sky Walk by Jane ward,90x70cm,70,90,940
https://www.bearspace.co.uk/product-page/castle-by-jane-ward,Castle by Jane Ward,90x70cm,70,90,940
https://www.bearspace.co.uk/product-page/emplacement-3-by-victoria-ashdown,Emplacement 3 by Victoria Ashdown,15x42x9 cm,42,15,180
https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,Heated Discussion by Lucinda Metcalfe,43x38cm,38,43,640
https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,Garden City State 1a by Jane Ward,60x45cm,45,60,490
https://www.bearspace.co.uk/product-page/yeti-over-mount-fuji-pantone-yellow-by-phil-ashcroft,YETI OVER MOUNT FUJI (PANTONE YELLOW) by Phil Ashcroft,screenprint on paper, 42,59.4 ,150
https://www.bearspace.co.uk/product-page/ennio-fallen-by-chris-hawtin,Ennio Fallen by Chris Hawtin,"Oil, enamel, acrylic and plaster on canvas",198,198,4000
https://www.bearspace.co.uk/product-page/venn-s-bluff-by-chris-hawtin,Venn's Bluff by Chris Hawtin,"Oil, enamel, acrylic and plaster on canvas",180,180,3800
https://www.bearspace.co.uk/product-page/the-wheel-by-chris-hawtin,The Wheel by Chris Hawtin,"Oil, enamel, acrylic and plaster on canvas",198,198,4000
https://www.bearspace.co.uk/product-page/secret-place-by-natasha-kissell,Secret Place by Natasha Kissell,70x60cm,60,70,940
https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,SSHHH by Dominic Bradnum,oil on canvas,50,40,640
https://www.bearspace.co.uk/product-page/push-by-deanna-lewis,"""Push"" by Deanna Lewis",Acrylic and oil paint on canvas, 60 ,40 ,440
https://www.bearspace.co.uk/product-page/stroke-by-deanna-lewis,"""Stroke"" by Deanna Lewis",Acrylic and oil paint on canvas, 60 ,40 ,440
https://www.bearspace.co.uk/product-page/the-reaches-by-chris-hawtin,The Reaches by Chris Hawtin,Oil on canvas,60,50,940
https://www.bearspace.co.uk/product-page/the-chaos-by-chris-hawtin,The Chaos by Chris Hawtin,Oil on canvas,60,50,940
https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,With Tomorrow by Chris Hawtin,Oil on canvas,60,50,940
https://www.bearspace.co.uk/product-page/emplacement-4-by-victoria-ashdown,Emplacement 4 by Victoria Ashdown,43x25x7 cm,25,43,180
https://www.bearspace.co.uk/product-page/emplacement-5-by-victoria-ashdown,Emplacement 5 by Victoria Ashdown,40x26x8 cm,26,40,240
https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,Broad Vales Between by Jane Ward,70x90 cm,90 ,70,840
https://www.bearspace.co.uk/product-page/message-of-undying-love-by-dominic-bradnum,Message Of Undying Love by Dominic Bradnum,"oil, watercolour, charcoal and ink on canvas", 150,110CM ,2400
https://www.bearspace.co.uk/product-page/wherever-you-go-i-will-follow-by-dominic-bradnum,"Wherever You Go, I Will Follow by Dominic Bradnum","oil, watercolour, charcoal and ink on canvas", 100,70CM ,1400
https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward-1,The High Way (Peak) by Jane Ward,90x70cm,70,90,940
https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward,Unfathomable Deeps by Jane Ward,70x90 cm,90 ,70,840
https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,"Of Earth, Air and Water by Jane Ward",70x90 cm,90 ,70,840
https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,In These Solitudes by Jane Ward,70x90 cm,90 ,70,840
https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,From Frozen Floods by Jane Ward,70x90 cm,90 ,70,840
https://www.bearspace.co.uk/product-page/standing-triple-grey-and-black-by-vic-wright,Standing Triple Grey and Black by Vic Wright,24k gold leaf with casting cement, 14 ,15 ,380
https://www.bearspace.co.uk/product-page/standing-grey-double-by-vic-wright,Standing Grey double by Vic Wright,Grey casting cement, 6.5 ,12 ,180
https://www.bearspace.co.uk/product-page/standing-white-black-gold-by-vic-wright,"Standing White , black & gold by Vic Wright","Lichen gilded with 24k gold leaf, moss with ground copper, and white casting cement", 6 ,12 ,280
https://www.bearspace.co.uk/product-page/meld-1-by-vic-wright,Meld 1 by Vic Wright,"24k gold leaf, white casting cement and ground iron", 14 ,17 ,440
https://www.bearspace.co.uk/product-page/conversation-by-vic-wright,Conversation by Vic Wright,18K gold leaf and white casting cement, 13 ,16.5 ,440
https://www.bearspace.co.uk/product-page/meld-2-by-vic-wright,Meld 2 by Vic Wright,"24k goldleaf, white and black cement with iron", 12 ,15 ,320
https://www.bearspace.co.uk/product-page/ore-by-vic-wright,Ore by Vic Wright,"18k goldleaf, grey casting cement and white wax.", 8 ,8.5 ,140
https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,FRAGMENTATION No.33 by Jim Cheatle,"Resin, pigments, canvas, paper, inkjet prints, MDF", 54.5 ,70 ,1200
https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,Fragstudy 2 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF", 23 ,30.5 ,490
https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,Fragstudy 3 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF", 23 ,30.5 ,490
https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,Fragstudy 7 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF", 23 ,30.5 ,490
https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,Portal 5 by Jane Ward,Digital print under acrylic with subframe,0,0,320
https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,FRAGMENTATION No.17 by Jim Cheatle,"Resin, pigments, canvas, paper, inkjet prints, MDF", 54.5 ,70 ,1200
https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,FRAGMENTATION No.10 by Jim Cheatle,"Resin, pigments, paper, indian ink, inkjet prints, MDF", 54.5 ,70 ,1200
https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,Fragstudy 1 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF", 23 ,30.5 ,490
https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,Fragstudy 4 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF", 23 ,30.5 ,490
https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,P8 by Olly Fathers,Acrylic paint on sprayed board,30,30,240
https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,Portal 6 by Jane Ward,Digital print under acrylic with subframe,0,0,320
https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,Another Sunset by Lucy Baker,"Oil paint, spray paint & gold leaf on board",34,42,340
https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,Hurricane by Lucy Baker,Oil paint & spray paint on board,40 ,30 ,0
https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,P4 by Olly Fathers,Acrylic paint on sprayed board,30,30,240
